Year,Month,Day,Night,Town,Village,Drug,Careless Driving,Skilless Driver,Racing,Careless Passenger,Pedestrian,Machine Error,Over Weight,Diaster,Driving License Present,Driving License Absent,Small Vehicle,Large Vehicle,Youth Collision,Adult Collision,Youth Death,Adult Death,Youth Injury,Adult Injury,Staff,Public,Student,Religious Person,Bike,Bicycle,Pedestrian,Other
2015,January,86,80,62,104,2,162, -, -, -, -,1,1, -,130,60,143,23,108,82,7,36,91,236,2,160,4, -,37,1,4,5
2015,February,86,84,111,59, -,167, -, -, -, -, -,3, -,170,30,153,17,109,91,9,34,62,208,5,161,4, -,37,1,3,5
2015,March,95,98,112,81, -,190, -, -, -, -,1,2, -,150,36,172,21,91,95,16,54,62,284, -,193, -, - ,37, -,4,5
2015,April,93,132,155,70, -,224, -, -, -, -, -,1, -,220,45,209,16,111,154,10,57,71,384,3,222, -, -,37, -,3,5
2015,May,77,97,95,79, -,172,1, -, -, -, -,1, -,153,41,150,24,89,105,7,50,66,177,1,171,2, -,37,1,4,5
2015,June,68,75,64,79, -,140,3, -, -, -, -, -, -,130,34,129,14,74,90,12,23,106,139,2,139,2, -,37,1,3,5
2015,July,86,68,97,57, -,154, -, -, -, -, -, -, -,140,40,142,12,81,99,8,31,116,176,4,149,1, -,37,1,4,5
2015,August,78,76,88,66,1,152, -, -,1, -, -, -, -,137,30,142,17,80,87,10,29,62,172,4,146,3,1,37, -,3,5
2015,September,81,81,80,82, -,156,3, -, -, -,3, -, -,150,33,149,13,106,77,10,38,85,37,3,154,5, -,37,1,5,5
2015,October,91,78,73,96, -,165, -,1,1, -, -, -, -,160,35,155,14,99,96,6,59,71,181,3,164,2, -,37,1,3,5
2015,November,73,96,85,84, -,166,3, -, -, -, -, -, -,180,21,147,22,103,98,11,53,69,182,4,164,1, -,37, -,3,5
2015,December,84,102,111,75,1,175,6, -,2, -, -,2, -,190,30,164,22,133,87,14,49,58,161,1,183,2, -,37,1,3,6
2016,January,97,62,98,61, -,159,    -,    -,    -,    -,    -,    -, -,160,30,131,28,132,58,10,34,70,173,13,136,10,  -,47,1,4,4
2016,February,101,90,120,71, -,190,    -,1,    -,    -,    -,    -, -,193,40,161,30,111,122,18,36,78,235,5,181,5,  -,47,1,4,4
2016,March,96,84,88,92, -,180,    -,    -,    -,    -,    -,    -, -,226,50,146,34,147,129,15,51,61,247,5,170,5,  -,47,1,4,4
2016,April,98,113,130,81,1,210,    -,    -,    -,    -,    -,    -, -,225,30,191,20,116,139,22,48,74,253,3,205,3,  -,47,1,4,4
2016,May,81,69,106,44, -,147,1,2,    -,    -,    -,    -, -,142,40,125,25,103,79,18,30,51,186,4,145,1,  -,47,1,4,4
2016,June,92,75,94,73, -,164,1,   -,    -,    -,2,    -, -,240,33,133,34,123,150,19,24,59,165,9,153,5,  -,47,1,5,4
2016,July,95,75,108,62, -,168,1,1,    -,    -,  -,    -, -,165,35,149,21,117,83,24,40,68,186,11,156,3,  -,47,1,5,4
2016,August,118,91,117,92, -,205,   -,2,    -,    -,2,    -, -,221,20,176,33,147,94,20,30,89,153,8,192,8,1,47,1,5,4
2016,September,99,82,96,85,1,176,    -,1,1,    -,2,    -, -,173,40,158,23,117,96,25,31,106,152,15,158,8,   -,47,  -,5,4
2016,October,122,77,110,110, -,196,1,1,    -,    -,1,    -, -,195,35,173,26,125,105,24,41,163,186,14,169,14,2,47,  -,5,4
2016,November,135,65,142,142, -,197,   -,3,  -,    -,    -,    -, -,190,50,178,22,137,103,31,50,145,196,9,181,9,1,46,  -,5,4
2016,December,106,73,125,125, -,179,   -,   -,   -,    -,  -,    -, -,180,38,163,16,114,104,12,35,130,166,5,166,6,2,46,  -,5,3
2017,January,140,46,140,46, -,182, -,   -,   -,   -,4,   -, -,155,62,22,164,106,111,99,150,22,46,8,164,12,2,44,1,3,3
2017,February,100,72,57,115, -,170, -, -, -, -,2,   -, -,154,39,22,150,91,102,89,201,22,45,4,160,7,1,43,   -,4,4
2017,March,130,66,60,136, -,196,  -,   -,   -,   -,   -,   -, -,175,50,23,173,91,134,118,224,24,32,6,184,5,1,44,-,4,4
2017,April,158,68,124,102, -,226,  -, -, -, -, -,   -, -,228,31,13,213,136,123,124,282,25,51,3,221,1,1,1,1,4,3
2017,May,100,79,57,122,7,160,  -,                  -,8,   -,4,   -, -,145,50,47,132,98,97,88,207,37,35,9,168,-,2,44,   -,3,4
2017,June,113,74,94,93, -,171,   -,                  -,3, -,13,   -, -,189,20,21,166,74,135,91,182,35,37,11,171,5,   -,43,   -,4,4
2017,July,78,98,54,122,2,165,   -,   -,5,   -,4,   -, -,168,29,23,153,97,100,135,197,31,34,12,150,13,1,44,   -,4,3
2017,August,102,92,127,67, -,187,   -, -,7, -,   -,   -, -,194,31,30,164,98,127,107,206,23,40,6,175,9,4,43,1,3,3
2017,September,84,75,123,36, -,147,    -,   -,9,   -,3,   -, -,119,57,20,139,77,99,113,140,18,30,5,144,10,   -,44,   -,4,4
2017,October,104,94,125,73,  -,189,     -, -,4, -,5,   -, -,183,33,37,161,101,115,98,272,25,38,4,180,10,4,43,   -,4,4
2017,November,91,85,115,61,  -,164,     -,   -,10,   -,2,   -, -,149,54,27,149,70,133,102,158,19,47,5,159,10,2,44,1,4,3
2017,December,100,84,121,63,  -,171,     -, -,13, -,   -,   -, -,167,34,34,150,56,145,84,171,27,46,12,163,7,2,43,   -,4,4
2018,January,103,86,132,57,   -,161,2,26,   -,   -, -,   -, -,155,51,21,168,95,111,93,134,46,35,8,171,7,3,37,1,6,4
2018,February,94,100,147,47,   -,180,   -,14, -, -,   -,   -, -,185,28,31,163,64,149,82,198,31,31,9,177,7,1,37,1,6,4
2018,March,102,93,118,77,   -,190, -,5,   -,   -,   -,   -, -,185,43,31,164,42,186,84,204,28,36,10,176,4,5,37,1,6,4
2018,April,113,108,104,117,    -,217, -,4, -, -,   -,   -, -,222,35,37,183,89,168,98,344,30,37,8,201,7,4,37,1,6,4
2018,May,98,86,84,100,     -,178,   -,6,   -,   -,   -,   -, -,148,59,23,161,72,135,83,208,18,28,10,166,6,2,37,1,6,4
2018,June,87,88,86,89,     -,175, -,                  -, -, -,   -,   -, -,157,38,14,161,54,141,51,159,18,38,7,156,8,4,37,1,6,5
2018,July,92,99,111,80,     -,176, -,15,   -,   -,   -,   -, -,181,41,16,175,128,94,70,180,23,43,3,182,6,   -,37,1,6,5
2018,August,93,96,120,69,      -,174,   -,15, -, -,   -,   -, -,192,25,20,169,124,93,87,163,17,36,5,178,5,1,37,1,6,5
2018,September,99,88,75,112,     -,174, -,13,   -,   -,   -,   -, -,203,29,18,169,137,95,71,194,34,35,17,162,8,   -,37,1,6,5
2018,October,97,75,81,91,     -,162, -,10, -, -,   -,   -, -,162,10,21,151,115,70,112,225,18,35,7,155,7,3,37,   -,6,5
2018,November,96,85,78,103,    -,149,   -,32,   -,   -,   -,   -, -,172,9,28,153,129,93,83,199,29,39,2,167,10,2,37,   -,6,5
2018,December,86,79,71,94,    -,131, -,34, -, -,   -,   -, -,150,9,26,133,107,89,47,168,23,36,8,147,4,   -,38,   -,5,5
2019,January,95,85,77,103,    -,152, -,28,   -,   -,   -,   -, -,171,9,153,27,125,89,23,37,82,221,10,197,7,   -,18,   -,1,3
2019,February,73,75,67,81,    -,129,   -,19, -, -,   -,   -, -,140,8,131,17,99,78,19,27,58,166,8,164,5,   -,20,   -,1,3
2019,March,77,105,95,87,    -,180, -,2,   -,   -,   -,   -, -,158,24,173,9,143,62,20,30,76,163,5,196,4,   -,18,   -,1,3
2019,April,87,102,72,117,    -,165, -,24, -, -,   -,   -, -,174,15,157,32,144,88,26,45,99,155,8,216,7,1,18,   -,1,3
2019,May,69,83,62,90,    -,140,   -,   -,   -,12,   -,   -, -,131,38,133,19,97,72,15,31,82,117,4,162,1,2,18,   -,   -,3
2019,June,70,91,63,98,    -,139, -, -, -,22,   -,   -, -,139,22,135,26,92,69,13,31,78,120,3,151,7,   -,23,   -,   -,2
